"species","nacl","cnt","rep","shoot_length_cm","root_length_cm","fresh_weight_g","shoot_root_axis_weight_mg","MDA_nmol_gFW","H2O2_umol_gFW","SOD_U_mg","CAT_U_mg","APX_U_mg","proline_umol_gFW","treatment"
"Barley","0","CNT-",1,30.3032101912064,14.4070669200341,1.85229049123258,546.327084366379,8.3234146585128,1.18726505806902,44.8368703918046,14.8722102981423,14.4221084566525,0.396989723245484,"NaCl0_CNT0"
"Cowpea","0","CNT-",1,30.1921810190955,17.4009776623362,1.60000405903982,508.402387300397,7.89334293088507,1.27631404776841,39.0903906514686,11.4137851817786,9.07143968570938,0.463365440595049,"NaCl0_CNT0"
"Barley","50","CNT-",1,24.2782816597209,11.2914784841161,1.54511969141146,498.848434391238,15.622354079128,1.81821086499482,65.294563291899,20.4720061767568,20.2228548860071,1.16938744552073,"NaCl50_CNT0"
"Cowpea","50","CNT-",1,23.970963505871,12.5920633632722,1.58811881324447,405.881979719434,16.1075978557236,1.82225809060386,62.4828852886427,22.4698457020868,14.6658652101032,1.27215730291429,"NaCl50_CNT0"
"Barley","100","CNT-",1,21.7319928637246,10.5270406822972,1.41420407847462,366.698900319322,15.7672732921941,2.71253268673107,87.2749309511395,38.0422934896821,25.5161434596977,2.3011791914843,"NaCl100_CNT0"
"Cowpea","100","CNT-",1,19.0272229636951,8.50618146724536,1.27619929512781,350.477314819129,22.8701241322924,3.28849623913327,98.4053564932127,33.9388603130013,18.6850931115922,2.20626336943718,"NaCl100_CNT0"
"Barley","150","CNT-",1,17.7989797701269,8.81280541400316,1.15120048800816,360.281178563426,21.6981365808298,3.72983906857457,123.22414194962,47.0190186019598,37.1304771321882,3.25951613863207,"NaCl150_CNT0"
"Cowpea","150","CNT-",1,13.123780091603,5.9621217176235,0.839905162367971,221.692351530771,28.3715135562784,4.44401852902631,127.374515883212,44.7947805676504,30.9883605888071,2.60407887648677,"NaCl150_CNT0"
"Barley","0","CNT+",1,30.5413477764723,15.2708175094086,1.81273539299898,514.970704038374,7.04453688387158,1.27343962776485,44.2182965553125,16.7203822393122,15.0880179334282,0.505361875700055,"NaCl0_CNT50"
"Cowpea","0","CNT+",1,30.3387555115696,14.5000173807926,1.89365019274459,577.870194985824,7.11136889644168,1.09670488957466,40.9257407489264,14.7674025807613,13.9103759234728,0.496056879548635,"NaCl0_CNT50"
"Barley","50","CNT+",1,27.7412855088209,14.6321626751472,1.51604355310339,548.150271262303,11.2515157632955,1.77149657132355,69.2457329439519,26.0433634258001,21.5310479462465,1.34563709117979,"NaCl50_CNT50"
"Cowpea","50","CNT+",1,24.9290780254673,13.148724436975,1.52184487012609,440.805034504322,11.5021240024375,1.91391558835211,68.7274718548339,32.7368150041505,18.2547276980857,1.3485178566612,"NaCl50_CNT50"
"Barley","100","CNT+",1,21.6246188873942,11.0070427416799,1.51159769904065,400.378309363983,16.1077303135142,2.20724350194321,93.5057833625973,29.1674507828713,24.9802175013086,2.24058206063557,"NaCl100_CNT50"
"Cowpea","100","CNT+",1,22.6803220355947,10.7170342962889,1.36667354199115,434.479360359532,22.4068641152427,2.47500237238318,97.4104194593653,39.5234765336189,27.1295031273213,2.17952336489739,"NaCl100_CNT50"
"Barley","150","CNT+",1,21.5182499483479,10.2273902216811,1.2971520010744,391.675195237597,19.3313920789898,3.17731706408097,120.19007158346,43.245665417967,38.2947680240565,2.67210151868364,"NaCl150_CNT50"
"Cowpea","150","CNT+",1,18.8538479291785,8.15623554128637,1.25737959852968,330.600620234845,24.1926085659818,3.12794391890892,124.922379662227,41.7588571792958,33.8900974587774,3.53283435017866,"NaCl150_CNT50"
"Barley","0","CNT-",2,27.7051165379932,13.8746284966418,1.8235017910753,504.910081909877,8.47201083838987,1.37189063132772,36.8233839644496,15.6137779017334,12.1018776704142,0.442987147948698,"NaCl0_CNT0"
"Cowpea","0","CNT-",2,27.6139727265703,15.8784500218836,1.54871195596752,590.281491126636,8.69182238281486,1.18190688133371,35.3631771835547,15.8680617450567,12.5798326365777,0.399694929931773,"NaCl0_CNT0"
"Barley","50","CNT-",2,24.9580938783412,12.3725495997741,1.61289044382299,465.384227183398,12.7665726896768,1.6461150355703,70.4039936983468,25.5470239361135,17.7164739205839,1.02428926604172,"NaCl50_CNT0"
"Cowpea","50","CNT-",2,23.620275346156,11.7101260985028,1.49630643986143,382.498049178127,13.8626053186168,2.43887046780958,68.8201328251505,25.6177410387486,22.8427749958976,1.28624752381423,"NaCl50_CNT0"
"Barley","100","CNT-",2,18.8894698084685,11.0523355612598,1.4582746802516,453.481115600149,15.7515994805473,2.30077755293695,88.0632002524578,30.4728776469728,24.9446834049534,2.08587657360815,"NaCl100_CNT0"
"Cowpea","100","CNT-",2,17.3212979698379,10.2832924651994,1.14310491020296,331.090450653185,23.7900711876371,3.21197285955775,92.3470759907292,38.1413325600295,26.0879194397544,1.80473116908572,"NaCl100_CNT0"
"Barley","150","CNT-",2,18.6211493363642,8.48592866002078,1.05408194378465,296.314039278189,24.4023762136441,3.24257398263909,124.950410195021,42.0930063768261,31.761088352206,3.45008517746834,"NaCl150_CNT0"
"Cowpea","150","CNT-",2,13.7717184793064,6.39813983826758,0.723098724473028,231.05057094959,29.1919458145405,4.03579452858504,132.94758731512,42.9119006059751,34.8303678937517,2.66074618516899,"NaCl150_CNT0"
"Barley","0","CNT+",2,26.7749149754639,16.0479723539826,1.98122135970176,571.9527294545,6.89549036037974,1.44599528323637,48.6607421872784,16.9591222798685,14.7709787347416,0.406379535350817,"NaCl0_CNT50"
"Cowpea","0","CNT+",2,26.1584575141811,15.0515029734845,1.62741659665568,527.904790340086,9.03816471968373,1.07593515324423,42.341613284833,17.0712428273598,12.39571735464,0.438842725414277,"NaCl0_CNT50"
"Barley","50","CNT+",2,27.2317067188277,14.5603822385838,1.69894991356157,406.798969522388,11.9902384671982,1.9396547444735,76.3289848811599,25.8810982897062,15.4274816712354,1.3363725555638,"NaCl50_CNT50"
"Cowpea","50","CNT+",2,25.8261467094971,13.0918415700789,1.60327225508894,475.191922235018,13.2463590640747,2.25068566692456,74.3635888259439,23.3882047920715,24.0530627978281,1.51841652943863,"NaCl50_CNT50"
"Barley","100","CNT+",2,24.9278035463728,10.8419676064628,1.42850172045897,457.185936915368,16.1811057356751,2.3862516372243,117.682135917781,33.0396658253437,22.4510903395017,2.26536992903702,"NaCl100_CNT50"
"Cowpea","100","CNT+",2,21.028455890257,11.4465738981514,1.27784593686556,469.216489452822,19.3443679036703,2.64730072932365,97.0254096003054,38.4354951281075,28.7437625812107,1.76547100757292,"NaCl100_CNT50"
"Barley","150","CNT+",2,21.6240031675148,11.4853308586848,1.34919542222509,415.687145823826,19.8706233003941,2.84245001081449,129.823694661045,49.0214217289417,31.3379041170453,3.04770338087669,"NaCl150_CNT50"
"Cowpea","150","CNT+",2,18.8195288864625,8.66391132128533,1.0548389387936,320.945007964629,26.869317993393,3.42137281174244,117.151121904947,45.6618360939187,31.3725630383085,3.44404485063411,"NaCl150_CNT50"
"Barley","0","CNT-",3,27.1858797007526,15.1985852522647,1.8073449117468,519.989988174324,9.44750563395429,1.10096064514681,43.6655054471295,15.0426238031969,10.9977530336319,0.396699344847207,"NaCl0_CNT0"
